3	Product Version: USB-60x3
3	Executable File Version: 2.9.5,311 
3	Program Build Date: Dec 13 2019,  12:14:04
3	Customer Serial Number:  200-1680-1-1
3	Customer Name:  NNL DEMO
3	Customer Organization:  NNL DEMO
3	--------------------------------------------------------
3	TimeValues	2021	7	21	13	48	5	UTC
3	TimeStamp	Wednesday, July 21, 2021, 3:48:05 PM 
3	DataFormat	2.9.3,113
3	ScreenSize	142.925	107.679	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
10	  0.0000	  15.7576	0.6381	0.3317	0.6374	0.3294	-1	0.1715	0.1636	1	0.0373	0	=,+
10	  0.0127	  12.6861	0.6405	0.3281	0.6386	0.3289	-1	0.1725	0.1623	1	0.0500	1	
10	  0.0294	  16.7131	0.6403	0.3345	0.6393	0.3311	-1	0.1717	0.1632	1	0.0667	2	
10	  0.0463	  16.8679	0.6419	0.3311	0.6403	0.3311	-1	0.1729	0.1642	1	0.0835	3	
10	  0.0630	  16.6876	0.6448	0.3457	0.6421	0.3369	-1	0.1704	0.1637	1	0.1002	4	
10	  0.0796	  16.6115	0.6427	0.3325	0.6424	0.3352	-1	0.1723	0.1632	1	0.1168	5	
10	  0.0963	  16.7530	0.6460	0.3458	0.6438	0.3394	-1	0.1706	0.1630	1	0.1336	6	
10	  0.1130	  16.6437	0.6464	0.3387	0.6449	0.3391	-1	0.1700	0.1628	1	0.1502	7	
10	  0.1297	  16.7486	0.6459	0.3387	0.6453	0.3390	-1	0.1714	0.1646	1	0.1670	8	
10	  0.1464	  16.7113	0.6460	0.3370	0.6456	0.3382	-1	0.1730	0.1630	1	0.1837	9	
10	  0.1631	  16.6991	0.6466	0.3481	0.6460	0.3421	-1	0.1720	0.1618	1	0.2004	10	
10	  0.1797	  16.5935	0.6597	0.3380	0.6515	0.3405	-1	0.1716	0.1602	1	0.2170	11	
10	  0.1965	  16.8272	0.6888	0.3283	0.6664	0.3356	-1	0.1742	0.1595	1	0.2338	12	
10	  0.2132	  16.6169	0.6872	0.3209	0.6747	0.3297	-1	0.1725	0.1615	1	0.2504	13	
10	  0.2298	  16.6667	0.6878	0.3213	0.6800	0.3263	-1	0.1743	0.1613	1	0.0167	14	
10	  0.2465	  16.7208	0.6889	0.3204	0.6835	0.3240	-1	0.1737	0.1604	1	0.0167	15	
10	  0.2632	  16.6920	0.6888	0.3229	0.6856	0.3235	-1	0.1735	0.1605	1	0.0167	16	
10	  0.2798	  16.5984	0.6911	0.3207	0.6878	0.3224	-1	0.1741	0.1610	1	0.0166	17	
10	  0.2966	  16.7244	0.6903	0.3238	0.6888	0.3230	-1	0.1742	0.1588	1	0.0167	18	
10	  0.3132	  16.6180	0.6891	0.3188	0.6889	0.3213	-1	0.1737	0.1617	1	0.0166	19	
10	  0.3300	  16.8422	0.6899	0.3262	0.6893	0.3232	-1	0.1747	0.1624	1	0.0168	20	
10	  0.3467	  16.6344	0.6884	0.3227	0.6889	0.3230	-1	0.1736	0.1623	1	0.0166	21	
